datetime,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,city_name,island_group,hour,day_of_week,is_weekend,hour_sin,hour_cos,aqi_lag_1,aqi_lag_2,aqi_lag_24,co_lag_1,co_lag_24,no_lag_1,no_lag_24,no2_lag_1,no2_lag_24,o3_lag_1,o3_lag_24,so2_lag_1,so2_lag_24,pm2_5_lag_1,pm2_5_lag_24,pm10_lag_1,pm10_lag_24,nh3_lag_1,nh3_lag_24,aqi_roll_mean_24,pm2_5_roll_mean_24,pm10_roll_mean_24,target_aqi_t_plus_1
2026-01-02 00:00:00+08:00,1,245.24,0.07,5.12,12.91,1.04,8.51,10.36,0.89,Bacolod,Visayas,0,4,0,0.0,1.0,1.0,1.0,1.0,243.8,207.56,0.07,0.02,5.2,4.87,13.31,15.58,1.12,1.58,8.23,6.85,10.27,9.22,0.9,1.48,1.0833333333333333,7.020416666666667,8.389166666666666,1.0
2026-01-02 01:00:00+08:00,1,245.03,0.06,4.93,12.53,0.98,8.77,10.44,0.92,Bacolod,Visayas,1,4,0,0.25881904510252074,0.9659258262890683,1.0,1.0,1.0,245.24,204.33,0.07,0.01,5.12,4.61,12.91,15.74,1.04,1.57,8.51,6.93,10.36,9.09,0.89,1.53,1.0833333333333333,7.097083333333334,8.445416666666667,1.0
2026-01-02 02:00:00+08:00,1,243.93,0.05,4.69,12.47,0.97,9.02,10.6,0.96,Bacolod,Visayas,2,4,0,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0,245.03,198.47,0.06,0.01,4.93,4.16,12.53,16.47,0.98,1.53,8.77,6.91,10.44,8.91,0.92,1.43,1.0833333333333333,7.185,8.515833333333333,1.0
2026-01-02 03:00:00+08:00,1,242.25,0.05,4.46,12.49,0.95,9.21,10.75,0.99,Bacolod,Visayas,3,4,0,0.7071067811865476,0.7071067811865476,1.0,1.0,1.0,243.93,190.96,0.05,0.01,4.69,3.67,12.47,17.5,0.97,1.46,9.02,6.86,10.6,8.71,0.96,1.24,1.0833333333333333,7.282916666666666,8.600833333333332,1.0
2026-01-02 04:00:00+08:00,1,240.68,0.04,4.23,12.44,0.91,9.34,10.8,0.95,Bacolod,Visayas,4,4,0,0.8660254037844386,0.5000000000000001,1.0,1.0,1.0,242.25,186.65,0.05,0.01,4.46,3.34,12.49,17.35,0.95,1.37,9.21,6.89,10.75,8.67,0.99,1.22,1.0833333333333333,7.385000000000001,8.689583333333333,1.0
2026-01-02 05:00:00+08:00,1,239.11,0.04,4.06,12.46,0.88,9.39,10.77,0.88,Bacolod,Visayas,5,4,0,0.9659258262890683,0.25881904510252074,1.0,1.0,1.0,240.68,182.22,0.04,0.02,4.23,3.02,12.44,17.7,0.91,1.3,9.34,6.88,10.8,8.58,0.95,1.14,1.0833333333333333,7.489583333333333,8.780833333333332,1.0
2026-01-02 06:00:00+08:00,1,234.37,0.04,3.85,12.76,0.89,9.2,10.57,0.77,Bacolod,Visayas,6,4,0,1.0,6.123233995736766e-17,1.0,1.0,1.0,239.11,174.8,0.04,0.02,4.06,2.62,12.46,18.72,0.88,1.14,9.39,6.74,10.77,8.31,0.88,0.65,1.0833333333333333,7.592083333333334,8.875,1.0
2026-01-02 07:00:00+08:00,1,230.79,0.11,3.78,12.8,1.01,8.86,10.34,0.65,Bacolod,Visayas,7,4,0,0.9659258262890683,-0.25881904510252063,1.0,1.0,1.0,234.37,170.98,0.04,0.07,3.85,2.52,12.76,19.02,0.89,1.13,9.2,6.63,10.57,8.17,0.77,0.44,1.0833333333333333,7.685,8.965416666666668,1.0
2026-01-02 08:00:00+08:00,1,221.84,0.6,3.2,15.25,1.17,8.21,9.65,0.52,Bacolod,Visayas,8,4,0,0.8660254037844387,-0.4999999999999998,1.0,1.0,1.0,230.79,169.38,0.11,0.41,3.78,2.28,12.8,20.58,1.01,1.23,8.86,6.48,10.34,7.98,0.65,0.38,1.0833333333333333,7.757083333333334,9.034999999999998,1.0
2026-01-02 09:00:00+08:00,1,161.61,0.36,1.82,27.76,1.21,5.79,6.5,0.1,Bacolod,Visayas,9,4,0,0.7071067811865476,-0.7071067811865475,1.0,1.0,1.0,221.84,137.33,0.6,0.35,3.2,1.42,15.25,31.2,1.17,1.32,8.21,4.92,9.65,5.68,0.52,0.12,1.0833333333333333,7.793333333333333,9.069166666666666,1.0
