datetime,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,city_name,island_group
2026-01-01 00:00:00+08:00,1,207.56,0.02,4.87,15.58,1.58,6.85,9.22,1.48,Bacolod,Visayas
2026-01-01 01:00:00+08:00,1,204.33,0.01,4.61,15.74,1.57,6.93,9.09,1.53,Bacolod,Visayas
2026-01-01 02:00:00+08:00,1,198.47,0.01,4.16,16.47,1.53,6.91,8.91,1.43,Bacolod,Visayas
2026-01-01 03:00:00+08:00,1,190.96,0.01,3.67,17.5,1.46,6.86,8.71,1.24,Bacolod,Visayas
2026-01-01 04:00:00+08:00,1,186.65,0.01,3.34,17.35,1.37,6.89,8.67,1.22,Bacolod,Visayas
2026-01-01 05:00:00+08:00,1,182.22,0.02,3.02,17.7,1.3,6.88,8.58,1.14,Bacolod,Visayas
2026-01-01 06:00:00+08:00,1,174.8,0.02,2.62,18.72,1.14,6.74,8.31,0.65,Bacolod,Visayas
2026-01-01 07:00:00+08:00,1,170.98,0.07,2.52,19.02,1.13,6.63,8.17,0.44,Bacolod,Visayas
2026-01-01 08:00:00+08:00,1,169.38,0.41,2.28,20.58,1.23,6.48,7.98,0.38,Bacolod,Visayas
2026-01-01 09:00:00+08:00,1,137.33,0.35,1.42,31.2,1.32,4.92,5.68,0.12,Bacolod,Visayas
2026-01-01 10:00:00+08:00,1,130.83,0.26,1.09,35.78,1.21,4.63,5.26,0.09,Bacolod,Visayas
2026-01-01 11:00:00+08:00,1,126.39,0.17,0.83,40.36,1.16,4.85,5.43,0.06,Bacolod,Visayas
2026-01-01 12:00:00+08:00,1,121.06,0.12,0.67,44.28,1.06,4.88,5.35,0.04,Bacolod,Visayas
2026-01-01 13:00:00+08:00,1,120.65,0.1,0.72,46.39,1.0,5.2,5.66,0.07,Bacolod,Visayas
2026-01-01 14:00:00+08:00,1,121.71,0.08,0.82,48.18,1.01,5.66,6.16,0.1,Bacolod,Visayas
2026-01-01 15:00:00+08:00,1,126.91,0.09,1.1,47.73,1.07,6.34,6.93,0.14,Bacolod,Visayas
2026-01-01 16:00:00+08:00,1,136.7,0.09,1.66,45.02,1.2,7.16,7.92,0.24,Bacolod,Visayas
2026-01-01 17:00:00+08:00,1,147.58,0.04,2.47,42.13,1.37,7.66,8.58,0.32,Bacolod,Visayas
2026-01-01 18:00:00+08:00,1,167.63,0.0,3.71,36.24,1.52,8.33,9.52,0.51,Bacolod,Visayas
2026-01-01 19:00:00+08:00,1,195.64,0.01,4.91,28.89,1.61,9.26,10.88,0.74,Bacolod,Visayas
2026-01-01 20:00:00+08:00,2,219.03,0.03,5.52,23.62,1.64,10.08,12.12,0.92,Bacolod,Visayas
2026-01-01 21:00:00+08:00,2,234.41,0.04,5.66,20.17,1.58,10.71,13.04,0.99,Bacolod,Visayas
2026-01-01 22:00:00+08:00,1,237.32,0.08,5.23,14.01,1.2,7.75,9.76,0.93,Bacolod,Visayas
2026-01-01 23:00:00+08:00,1,243.8,0.07,5.2,13.31,1.12,8.23,10.27,0.9,Bacolod,Visayas
2026-01-02 00:00:00+08:00,1,245.24,0.07,5.12,12.91,1.04,8.51,10.36,0.89,Bacolod,Visayas
2026-01-02 01:00:00+08:00,1,245.03,0.06,4.93,12.53,0.98,8.77,10.44,0.92,Bacolod,Visayas
2026-01-02 02:00:00+08:00,1,243.93,0.05,4.69,12.47,0.97,9.02,10.6,0.96,Bacolod,Visayas
2026-01-02 03:00:00+08:00,1,242.25,0.05,4.46,12.49,0.95,9.21,10.75,0.99,Bacolod,Visayas
2026-01-02 04:00:00+08:00,1,240.68,0.04,4.23,12.44,0.91,9.34,10.8,0.95,Bacolod,Visayas
