city_name,start_datetime,end_datetime,original_rows,expected_hourly_rows,original_duplicate_timestamps,original_missing_hour_count,imputed_rows,inserted_hourly_rows,imputed_duplicate_timestamps,imputed_missing_hour_count,pollutant_imputation_method,aqi_imputation_method,ready_for_forecasting
Bacolod,2026-01-01 00:00:00+08:00,2026-02-28 23:00:00+08:00,1415,1416,0,1,1415,0,0,1,Time-based linear interpolation with forward/backward fill,"Time-based interpolation, rounded to nearest integer, clipped to 1-5",False
Cagayan de Oro,2026-01-01 00:00:00+08:00,2026-02-28 22:00:00+08:00,1209,1415,0,206,1209,0,0,206,Time-based linear interpolation with forward/backward fill,"Time-based interpolation, rounded to nearest integer, clipped to 1-5",False
Cebu City,2026-01-01 00:00:00+08:00,2026-02-28 23:00:00+08:00,1414,1416,0,2,1414,0,0,2,Time-based linear interpolation with forward/backward fill,"Time-based interpolation, rounded to nearest integer, clipped to 1-5",False
Davao,2026-01-01 00:00:00+08:00,2026-02-28 23:00:00+08:00,1402,1416,0,14,1402,0,0,14,Time-based linear interpolation with forward/backward fill,"Time-based interpolation, rounded to nearest integer, clipped to 1-5",False
Iloilo City,2026-01-01 00:00:00+08:00,2026-02-28 23:00:00+08:00,1414,1416,0,2,1414,0,0,2,Time-based linear interpolation with forward/backward fill,"Time-based interpolation, rounded to nearest integer, clipped to 1-5",False
Lapu-Lapu City,2026-01-01 00:00:00+08:00,2026-02-28 23:00:00+08:00,1414,1416,0,2,1414,0,0,2,Time-based linear interpolation with forward/backward fill,"Time-based interpolation, rounded to nearest integer, clipped to 1-5",False
Makati City,2026-01-01 00:00:00+08:00,2026-02-28 23:00:00+08:00,1398,1416,0,18,1398,0,0,18,Time-based linear interpolation with forward/backward fill,"Time-based interpolation, rounded to nearest integer, clipped to 1-5",False
Manila,2026-01-01 00:00:00+08:00,2026-02-28 23:00:00+08:00,1394,1416,0,22,1394,0,0,22,Time-based linear interpolation with forward/backward fill,"Time-based interpolation, rounded to nearest integer, clipped to 1-5",False
Pasig,2026-01-01 00:00:00+08:00,2026-02-28 23:00:00+08:00,1391,1416,0,25,1391,0,0,25,Time-based linear interpolation with forward/backward fill,"Time-based interpolation, rounded to nearest integer, clipped to 1-5",False
Quezon City,2026-01-01 00:00:00+08:00,2026-02-28 23:00:00+08:00,1412,1416,0,4,1412,0,0,4,Time-based linear interpolation with forward/backward fill,"Time-based interpolation, rounded to nearest integer, clipped to 1-5",False
TOTAL (10 CITIES),2026-01-01 00:00:00+08:00,2026-02-28 23:00:00+08:00,13863,14159,0,296,13863,0,0,296,Time-based linear interpolation with forward/backward fill,"Time-based interpolation, rounded to nearest integer, clipped to 1-5",False
